N,m,HEDAR:time,HEDAR:Jaccard,Hough:time,Hough:Jaccard,EFT:time,EFT:Jaccard
1,64,1.8687,0.23853,0.11651,0.26506,0.085876,0.12022
2,64,1.9305,0.23853,0.11749,0.26506,0.090362,0.12022
3,64,1.8942,0.23853,0.12608,0.26506,0.095958,0.12022
4,64,1.9161,0.23853,0.11617,0.26506,0.086995,0.12022
5,64,1.8901,0.23853,0.12009,0.26506,0.098659,0.12022
6,64,1.904,0.23853,0.11573,0.26506,0.087649,0.12022
7,64,1.8863,0.23853,0.12198,0.26506,0.084104,0.12022
8,64,1.877,0.23853,0.11806,0.26506,0.090736,0.12022
9,64,1.915,0.23853,0.11457,0.26506,0.095149,0.12022
10,64,1.8805,0.23853,0.1185,0.26506,0.08686,0.12022
1,128,5.6716,0.23853,0.11647,0.26506,0.3301,0.18421
2,128,5.8178,0.23853,0.12774,0.26506,0.32665,0.18421
3,128,5.8031,0.23853,0.11929,0.26506,0.33219,0.18421
4,128,5.7346,0.23853,0.11584,0.26506,0.32759,0.18421
5,128,5.9008,0.23853,0.12426,0.26506,0.32222,0.18421
6,128,5.7205,0.23853,0.11618,0.26506,0.31844,0.18421
7,128,5.7431,0.23853,0.11938,0.26506,0.31822,0.18421
8,128,5.6719,0.23853,0.12868,0.26506,0.31252,0.18421
9,128,5.79,0.23853,0.11643,0.26506,0.34749,0.18421
10,128,6.1516,0.23853,0.11492,0.26506,0.34095,0.18421
1,256,20.6662,0.23853,0.11972,0.26506,1.279,0.12022
2,256,20.3587,0.23853,0.11906,0.26506,1.2709,0.12022
3,256,20.126,0.23853,0.12579,0.26506,1.3434,0.12022
4,256,21.3584,0.23853,0.11828,0.26506,1.5085,0.12022
5,256,21.0716,0.23853,0.12127,0.26506,1.336,0.12022
6,256,20.8675,0.23853,0.1316,0.26506,1.2888,0.12022
7,256,20.9238,0.23853,0.11769,0.26506,1.2729,0.12022
8,256,20.3901,0.23853,0.11845,0.26506,1.3077,0.12022
9,256,20.8503,0.23853,0.12111,0.26506,1.3341,0.12022
10,256,20.9137,0.23853,0.12966,0.26506,1.307,0.12022
1,512,94.9126,0.23853,0.12774,0.26506,5.6638,0.29665
2,512,89.3244,0.23853,0.12839,0.26506,5.6592,0.29665
3,512,86.759,0.23853,0.1326,0.26506,5.6674,0.29665
4,512,86.8555,0.23853,0.13103,0.26506,5.5283,0.29665
5,512,85.5202,0.23853,0.13494,0.26506,5.5143,0.29665
6,512,88.4204,0.23853,0.12862,0.26506,5.7032,0.29665
7,512,85.4258,0.23853,0.13217,0.26506,5.6326,0.29665
8,512,85.4288,0.23853,0.13281,0.26506,5.5422,0.29665
9,512,86.1257,0.23853,0.1301,0.26506,5.9311,0.29665
10,512,87.8311,0.23853,0.12607,0.26506,5.512,0.29665
