N,k,HEDAR:time,HEDAR:Jaccard,Hough:time,Hough:Jaccard,EFT:time,EFT:Jaccard
1,15,10.0757,0.15951,0.093471,0.25571,1.353,0.24138
2,15,10.0574,0.15951,0.089906,0.25571,1.2499,0.24138
3,15,9.9556,0.15951,0.089498,0.25571,1.2972,0.24138
4,15,9.9454,0.15951,0.087098,0.25571,1.2571,0.24138
5,15,10.0892,0.15951,0.096802,0.25571,1.2903,0.24138
6,15,9.8358,0.15951,0.089509,0.25571,1.2507,0.24138
7,15,9.8114,0.15951,0.098942,0.25571,1.2614,0.24138
8,15,9.7845,0.15951,0.090924,0.25571,1.2696,0.24138
9,15,9.9007,0.15951,0.088965,0.25571,1.2495,0.24138
10,15,9.6051,0.15951,0.088609,0.25571,1.2251,0.24138
1,20,12.7217,0,0.09299,0.19704,1.3147,0.23171
2,20,12.7681,0,0.094336,0.19704,1.2775,0.23171
3,20,13.0178,0,0.1043,0.19704,1.2571,0.23171
4,20,12.7258,0,0.096711,0.19704,1.2908,0.23171
5,20,12.8857,0,0.09307,0.19704,1.2844,0.23171
6,20,12.7669,0,0.092829,0.19704,1.2534,0.23171
7,20,13.1677,0,0.094557,0.19704,1.3419,0.23171
8,20,13.2824,0,0.092894,0.19704,1.2668,0.23171
9,20,13.1196,0,0.093103,0.19704,1.2977,0.23171
10,20,13.0922,0,0.092098,0.19704,1.2918,0.23171
1,25,16.5951,0,0.098512,0.19704,1.2943,0.23171
2,25,16.4704,0,0.090744,0.19704,1.2848,0.23171
3,25,16.7588,0,0.098938,0.19704,1.2856,0.23171
4,25,16.806,0,0.14392,0.19704,2.106,0.23171
5,25,16.7942,0,0.094024,0.19704,1.3464,0.23171
6,25,17.3328,0,0.10188,0.19704,1.2916,0.23171
7,25,17.6888,0,0.094316,0.19704,1.324,0.23171
8,25,16.8309,0,0.093663,0.19704,1.3096,0.23171
9,25,18.8484,0,0.14075,0.19704,1.316,0.23171
10,25,17.5524,0,0.096062,0.19704,1.2721,0.23171
1,30,18.1143,0.029762,0.10558,0.19704,1.2506,0.23171
2,30,17.9459,0.029762,0.091799,0.19704,1.2542,0.23171
3,30,18.2283,0.029762,0.098379,0.19704,1.2464,0.23171
4,30,17.8796,0.029762,0.097458,0.19704,1.3256,0.23171
5,30,18.4928,0.029762,0.094199,0.19704,1.3449,0.23171
6,30,18.0389,0.029762,0.093685,0.19704,1.6384,0.23171
7,30,19.1588,0.029762,0.097436,0.19704,1.2895,0.23171
8,30,18.2934,0.029762,0.094356,0.19704,1.2867,0.23171
9,30,18.1227,0.029762,0.1173,0.19704,1.287,0.23171
10,30,18.5704,0.029762,0.1049,0.19704,1.491,0.23171
1,35,27.0288,0,0.098918,0.19704,1.3477,0.23171
2,35,27.7702,0,0.091742,0.19704,1.3774,0.23171
3,35,26.416,0,0.094647,0.19704,1.2434,0.23171
4,35,26.4379,0,0.094338,0.19704,1.3959,0.23171
5,35,26.6726,0,0.094574,0.19704,1.2733,0.23171
6,35,27.0475,0,0.093739,0.19704,1.2774,0.23171
7,35,26.9134,0,0.16446,0.19704,1.285,0.23171
8,35,28.4236,0,0.093941,0.19704,1.301,0.23171
9,35,27.7425,0,0.092421,0.19704,1.2758,0.23171
10,35,26.8367,0,0.10118,0.19704,1.2718,0.23171
1,40,25.7869,0,0.091414,0.19704,1.2947,0.23171
2,40,25.1077,0,0.091785,0.19704,1.2942,0.23171
3,40,24.7238,0,0.09622,0.19704,1.2916,0.23171
4,40,26.0436,0,0.14959,0.19704,1.3272,0.23171
