N,number,HEDAR:n,HEDAR:time,HEDAR:Jaccard,Hough:n,Hough:time,Hough:Jaccard,EFT:n,EFT:time,EFT:Jaccard
1,1,1,14.6992,0.91304,2,0.10369,0.48889,0,1.4155,1
1,2,2,14.956,0.97778,5,0.11485,0.33475,1,1.4091,0.26776
1,3,3,14.7767,0.9759,5,0.14317,0.48525,1,1.3796,0.46825
1,4,4,14.4068,0.9708,5,0.15154,0.52424,1,1.3383,0.50352
1,5,5,14.5397,0.97199,5,0.18769,0.61985,2,1.3833,0.43687
1,6,6,14.3726,0.96825,5,0.21518,0.63825,2,1.353,0.46523
1,7,7,14.4867,0.93766,5,0.21885,0.65646,2,1.3881,0.49318
1,8,8,14.2998,0.94231,5,0.24198,0.70038,3,1.4503,0.45677
1,9,9,14.4964,0.94347,5,0.26997,0.72408,3,1.4866,0.49913
1,10,10,14.4761,0.95095,7,0.34092,0.62192,4,1.4986,0.45161
1,11,11,14.2536,0.94946,7,0.35193,0.63249,4,1.4848,0.4673
1,12,12,14.396,0.95112,7,0.403,0.66093,4,1.4866,0.50941
1,13,13,14.2779,0.94993,7,0.41646,0.67025,4,1.5199,0.52317
1,14,14,14.4063,0.95076,7,0.44175,0.68989,4,1.5473,0.55212
1,15,15,14.712,0.95102,7,0.47558,0.70481,4,1.5527,0.57407
1,16,16,14.2987,0.95179,7,0.50614,0.72121,4,1.5798,0.59815
1,17,17,14.4354,0.95093,7,0.53505,0.72808,4,1.6079,0.60822
1,18,18,14.2652,0.95507,7,0.62674,0.75874,5,1.6641,0.59506
1,19,20,14.4095,0.9545,9,0.71912,0.72253,6,1.7252,0.57154
1,20,21,14.4737,0.95691,11,0.7764,0.67422,6,1.8181,0.6042
1,21,22,14.3503,0.95868,12,0.87429,0.63583,7,1.8594,0.57198
1,22,23,14.2362,0.96069,13,0.91955,0.59858,8,1.9264,0.53947
1,23,24,14.3256,0.95995,13,0.95859,0.60397,8,1.9661,0.54572
1,24,25,14.2843,0.95922,13,0.94809,0.60922,8,2.1085,0.55459
1,25,26,14.4028,0.95969,13,1.0046,0.62375,8,2.1525,0.57119
1,26,27,14.327,0.96022,15,1.0382,0.60641,8,2.1955,0.58748
1,27,28,14.3311,0.95952,15,1.0698,0.61071,8,2.1721,0.59206
1,28,29,14.3369,0.95883,15,1.1024,0.61491,8,2.2404,0.59655
1,29,30,14.494,0.95821,15,1.1181,0.61941,8,2.2913,0.60134
1,30,31,14.4607,0.9589,15,1.1742,0.63374,9,2.4623,0.58981
1,31,32,14.3638,0.95836,15,1.1998,0.63816,9,2.4203,0.59472
1,32,33,14.4043,0.95952,15,1.3121,0.655,9,2.522,0.61345
1,33,34,14.4648,0.95947,15,1.3455,0.66231,9,2.579,0.62159
1,34,35,14.4496,0.95994,16,1.4327,0.64538,9,2.5674,0.63356
1,35,36,14.4212,0.96004,16,1.5524,0.6536,9,2.8284,0.6421
1,36,37,14.7903,0.96047,16,1.483,0.66394,9,2.793,0.66226
1,37,38,14.5901,0.96036,16,1.5072,0.67001,9,2.927,0.6685
1,38,39,14.4953,0.96114,20,1.6964,0.65107,10,3.2148,0.65159
1,39,40,14.8523,0.95023,20,1.8008,0.6605,10,3.7401,0.66057
