distx,disty,HEDAR:n,HEDAR:Jaccard,Hough:n,Hough:Jaccard,EFT:n,EFT:Jaccard
-34,-105,2,0.22082,6,0.12625,2,0.09116
10,-105,2,0.22082,6,0.12625,2,0.11292
26,-105,2,0.22082,6,0.12625,1,0.53407
-10,-105,2,0.22082,6,0.12625,2,0.09116
-82,-105,2,0.22082,6,0.12625,2,0.11333
-58,-105,2,0.22082,6,0.12625,2,0.11609
-34,-104,2,0.23902,8,0.14931,2,0.10127
10,-104,2,0.23902,8,0.14931,2,0.092692
-82,-104,2,0.23902,8,0.14931,2,0.094033
26,-104,2,0.23902,8,0.14931,2,0.063694
-10,-104,2,0.23902,8,0.14931,2,0.092774
-58,-104,2,0.23902,8,0.14931,2,0.094288
-34,-103,2,0.22082,6,0.12625,2,0.079235
10,-103,2,0.22082,6,0.12625,2,0.075318
-82,-103,2,0.22082,6,0.12625,2,0.11781
-58,-103,2,0.22082,6,0.12625,2,0.11161
26,-103,2,0.22082,6,0.12625,2,0.076993
-10,-103,2,0.22082,6,0.12625,2,0.07491
-34,-102,2,0.23902,8,0.14931,2,0.12554
-82,-102,2,0.23902,8,0.14931,2,0.094631
10,-102,2,0.23902,8,0.14931,2,0.092774
-58,-102,2,0.23902,8,0.14931,2,0.094631
-10,-102,2,0.23902,8,0.14931,2,0.06381
26,-102,2,0.23902,8,0.14931,2,0.099188
-34,-101,2,0.22082,6,0.12625,1,0.53211
-82,-101,2,0.22082,6,0.12625,2,0.078053
-58,-101,2,0.22082,6,0.12625,2,0.11282
10,-101,2,0.22082,6,0.12625,2,0.078237
-82,-100,2,0.23902,8,0.14931,2,0.094631
26,-101,2,0.22082,6,0.12625,1,0.53016
-10,-101,2,0.22082,6,0.12625,2,0.085125
-34,-100,2,0.23902,8,0.14931,1,0.53545
-58,-100,2,0.23902,8,0.14931,2,0.094033
-82,-99,2,0.22082,6,0.12625,2,0.075455
10,-100,2,0.23902,8,0.14931,2,0.092609
26,-100,2,0.23902,8,0.14931,1,0.5379
-10,-100,2,0.23902,8,0.14931,2,0.092199
-34,-99,2,0.22082,6,0.12625,1,0.53407
-58,-99,2,0.22082,6,0.12625,2,0.11312
-82,-98,2,0.23902,8,0.14931,2,0.094631
-10,-99,2,0.22082,6,0.12625,2,0.074842
26,-99,2,0.22082,6,0.12625,1,0.53358
10,-99,2,0.22082,6,0.12625,2,0.084699
-34,-98,2,0.23902,8,0.14931,2,0.12252
-82,-97,2,0.22082,6,0.12625,2,0.12432
-58,-98,2,0.23902,8,0.14931,2,0.095928
-10,-98,2,0.23902,8,0.14931,2,0.093609
-82,-96,2,0.23902,8,0.14931,2,0.092609
26,-98,2,0.23902,8,0.14931,2,0.094558
-34,-97,2,0.22082,6,0.12625,2,0.1098
10,-98,2,0.23902,8,0.14931,2,0.094203
-58,-97,2,0.22082,6,0.12625,2,0.080037
-10,-97,2,0.22082,6,0.12625,2,0.074439
-82,-95,2,0.22082,6,0.12625,2,0.12489
26,-97,2,0.22082,6,0.12625,2,0.085586
-34,-96,2,0.23902,8,0.14931,2,0.096948
-58,-96,2,0.23902,8,0.14931,2,0.092444
10,-97,2,0.22082,6,0.12625,2,0.077555
-82,-94,2,0.23902,8,0.14931,2,0.093609
-10,-96,2,0.23902,8,0.14931,2,0.10069
-58,-95,2,0.22082,6,0.12625,2,0.11333
-34,-95,2,0.22082,6,0.12625,2,0.1468
26,-96,2,0.23902,8,0.14931,2,0.098743
-82,-93,2,0.22082,6,0.12625,2,0.1177
10,-96,2,0.23902,8,0.14931,2,0.095486
-58,-94,2,0.23902,8,0.14931,2,0.093948
-10,-95,2,0.22082,6,0.12625,2,0.079597
26,-95,2,0.22082,6,0.12625,1,0.53358
-34,-94,2,0.23902,8,0.14931,2,0.092527
-82,-92,2,0.23902,8,0.14931,2,0.11081
10,-95,2,0.22082,6,0.12625,2,0.11309
-58,-93,2,0.22082,6,0.12625,2,0.11072
-10,-94,2,0.23902,8,0.14931,2,0.091549
26,-94,2,0.23902,8,0.14931,2,0.061762
-82,-91,2,0.22082,6,0.12625,2,0.091659
-34,-93,2,0.22082,6,0.12625,2,0.11781
10,-94,2,0.23902,8,0.14931,2,0.092444
-10,-93,2,0.22082,6,0.12625,2,0.081178
-58,-92,2,0.23902,8,0.14931,2,0.092857
-82,-90,2,0.23902,8,0.14931,2,0.11392
26,-93,2,0.22082,6,0.12625,2,0.076646
-34,-92,2,0.23902,8,0.14931,2,0.12852
-10,-92,2,0.23902,8,0.14931,2,0.11102
10,-93,2,0.22082,6,0.12625,2,0.075318
-82,-89,2,0.22082,6,0.12625,2,0.097539
-58,-91,2,0.22082,6,0.12625,2,0.11292
26,-92,2,0.23902,8,0.14931,2,0.098004
-34,-91,2,0.22082,6,0.12625,1,0.53211
-10,-91,2,0.22082,6,0.12625,2,0.085993
-82,-88,2,0.23902,8,0.14931,2,0.11242
10,-92,2,0.23902,8,0.14931,2,0.091711
-34,-90,2,0.23902,8,0.14931,1,0.55484
26,-91,2,0.22082,6,0.12625,1,0.53114
-10,-90,2,0.23902,8,0.14931,2,0.094077
-58,-90,2,0.23902,8,0.14931,2,0.093694
-82,-87,2,0.22082,6,0.12625,2,0.13339
10,-91,2,0.22082,6,0.12625,2,0.076439
-34,-89,2,0.22082,6,0.12625,1,0.53114
-58,-89,2,0.22082,6,0.12625,2,0.11141
26,-90,2,0.23902,8,0.14931,1,0.5379
-10,-89,2,0.22082,6,0.12625,2,0.097198
-82,-86,2,0.23902,8,0.14931,2,0.094118
