X,Y,Major,Minor,Rotation,HEDAR:n,HEDAR:Jaccard,Hough:n,Hough:Jaccard,EFT:n,EFT:Jaccard
33,33,30,1,110,1,0.92308,19,0.69192,0,1
33,33,30,1,59,3,0.76744,21,0.66995,0,1
33,33,30,1,19,2,0.59524,11,0.6631,1,0.51908
33,33,30,1,39,2,0.37864,20,0.68095,0,1
33,33,30,1,96,3,0.35955,1,0.65922,0,1
33,33,30,1,79,4,0.37374,81,0.71364,0,1
33,33,30,2,110,4,0.18447,41,0.57971,1,0.50867
33,33,30,2,19,4,0.17925,69,0.55941,1,0.49143
33,33,30,2,59,4,0.25862,42,0.61333,0,1
33,33,30,2,39,1,0.21782,61,0.61135,5,0.81984
33,33,30,2,96,3,0.31683,33,0.59135,0,1
33,33,30,2,79,4,0.22549,81,0.59709,0,1
33,33,30,3,110,1,0.18692,5,0.47291,0,1
33,33,30,3,19,2,0.22321,2,0.45685,1,0.59316
33,33,30,3,39,5,0.27778,2,0.46575,2,0.69291
33,33,30,3,59,4,0.31737,6,0.45498,0,1
33,33,30,3,96,1,0.24818,1,0.40223,2,0.575
33,33,30,3,79,1,0.24299,1,0.43094,0,1
33,33,30,4,110,3,0.16456,10,0.36967,1,0.34483
33,33,30,4,19,3,0.14286,10,0.36967,1,0.50558
33,33,30,4,39,2,0.20122,5,0.38222,2,0.74019
33,33,30,4,59,1,0.12081,8,0.36574,1,0.84545
33,33,30,4,96,3,0.22561,2,0.31746,1,0.44944
33,33,30,5,110,2,0.18452,7,0.40892,1,0.25352
33,33,30,4,79,3,0.13793,1,0.33508,1,0.65318
33,33,30,5,19,1,0.11765,1,0.32287,1,0.52038
33,33,30,5,59,2,0.22105,4,0.35857,1,0.5503
33,33,30,5,39,2,0.21429,6,0.39928,1,0.27706
33,33,30,6,110,4,0.14486,5,0.29344,1,0.32967
33,33,30,5,96,2,0.19149,1,0.29412,1,0.32035
33,33,30,5,79,2,0.22222,4,0.41328,1,0.33755
33,33,30,6,19,2,0.068421,3,0.26506,1,0.22785
33,33,30,6,59,2,0.1729,4,0.26295,1,0.40702
33,33,30,6,39,3,0.24268,12,0.35959,2,0.70781
33,33,30,7,110,3,0.14163,5,0.30565,1,0.19923
33,33,30,7,19,2,0.18992,5,0.30565,1,0.20968
33,33,30,6,96,1,0.13757,1,0.26383,1,0.15075
33,33,30,6,79,2,0.19417,1,0.24066,1,0.24167
33,33,30,7,59,3,0.19291,4,0.32343,1,0.25455
33,33,30,7,39,2,0.15139,2,0.27797,2,0.43799
33,33,30,8,110,3,0.079681,4,0.23256,1,0.25574
33,33,30,7,96,2,0.16803,1,0.27368,1,0.28374
33,33,30,8,19,2,0.041667,5,0.26198,1,0.25
33,33,30,8,59,2,0.13333,4,0.24422,1,0.29139
33,33,30,7,79,2,0.22072,4,0.29682,1,0.23166
33,33,30,8,39,1,0.12146,2,0.20339,1,0.21429
33,33,30,9,110,2,0.13514,7,0.29973,1,0.12803
33,33,30,8,96,2,0.16667,1,0.21754,1,0.40331
33,33,30,9,19,1,0.080321,1,0.23853,1,0.19463
33,33,30,9,59,2,0.23101,2,0.28212,1,0.24478
33,33,30,8,79,4,0.13793,1,0.19217,1,0.2776
33,33,30,9,39,2,0.14141,5,0.2981,1,0.19375
33,33,30,10,110,5,0.1571,5,0.21408,1,0.18634
33,33,30,10,19,3,0.090615,6,0.22888,1,0.17737
33,33,30,9,96,2,0.18812,1,0.24189,1,0.20261
33,33,30,10,59,1,0.1865,3,0.23224,2,0.35402
33,33,30,9,79,1,0.13439,4,0.29462,1,0.19936
33,33,30,10,39,3,0.16814,5,0.23306,1,0.28354
33,33,30,11,110,1,0.10625,2,0.24814,1,0.092593
33,33,30,11,19,2,0.13506,1,0.21299,1,0.17192
33,33,30,11,59,1,0.19355,1,0.21995,1,0.13598
33,33,30,10,96,2,0.16088,1,0.17699,1,0.1433
33,33,30,10,79,3,0.10932,1,0.15106,1,0.17949
33,33,30,12,110,2,0.094828,2,0.18859,1,0.096591
33,33,30,11,39,3,0.19098,2,0.23559,1,0.18717
33,33,30,12,19,1,0.018576,2,0.20844,1,0.18421
33,33,30,12,59,2,0.1626,1,0.1688,1,0.20925
33,33,30,11,96,2,0.17549,2,0.23174,1,0.084084
33,33,30,11,79,1,0.21637,1,0.2108,1,0.14085
33,33,30,13,110,2,0.11779,2,0.20316,1,0.1023
33,33,30,12,39,1,0.10315,2,0.18045,1,0.13624
33,33,30,13,19,1,0.1466,2,0.19865,1,0.16949
33,33,30,13,59,1,0.17251,3,0.23529,1,0.14742
33,33,30,12,79,3,0.1436,2,0.20339,1,0.096045
33,33,30,12,96,2,0.14634,3,0.20925,1,0.14731
33,33,30,14,110,2,0.079208,2,0.15801,1,0.10654
33,33,30,14,19,1,0.010667,2,0.16253,1,0.145
33,33,30,13,39,1,0.11311,2,0.2049,1,0.1292
33,33,30,14,59,2,0.12381,2,0.1766,1,0.11058
33,33,30,13,79,2,0.17349,2,0.21099,1,0.08
33,33,30,13,96,1,0.12723,2,0.21192,1,0.15385
33,33,30,15,110,2,0.15514,2,0.19238,1,0.096774
33,33,30,15,19,1,0.1535,2,0.2004,1,0.25835
33,33,30,14,39,1,0.095718,2,0.1559,1,0.12225
33,33,30,15,59,3,0.19076,4,0.23819,1,0.096552
33,33,30,14,79,2,0.13539,2,0.1766,1,0.10811
33,33,30,14,96,1,0.10076,3,0.19006,1,0.076531
33,33,30,16,19,2,0.11506,2,0.1523,1,0.12804
33,33,30,16,110,4,0.17613,2,0.15631,1,0.089485
33,33,30,16,59,2,0.16289,1,0.14315,1,0.12135
33,33,30,15,39,2,0.18672,6,0.24053,1,0.12727
33,33,30,15,79,2,0.18465,2,0.20594,1,0.083721
33,33,30,15,96,2,0.17938,5,0.23585,1,0.10643
33,33,30,17,19,1,0.15748,8,0.22632,1,0.12527
33,33,30,17,110,3,0.20073,6,0.22301,1,0.18605
33,33,30,17,59,2,0.16353,5,0.20665,1,0.12039
33,33,30,16,39,1,0.14737,1,0.14429,1,0.12121
33,33,30,16,79,1,0.12848,2,0.16238,1,0.09292
33,33,30,18,19,1,0.056112,3,0.14519,1,0.13115
33,33,30,18,110,2,0.11174,5,0.16696,1,0.086066
33,33,30,16,96,1,0.13889,3,0.17739,1,0.11677
33,33,30,18,59,1,0.13052,4,0.16462,1,0.091816
33,33,30,17,39,2,0.16262,5,0.18378,1,0.14476
33,33,30,17,79,4,0.17336,3,0.19538,1,0.1006
33,33,30,19,19,1,0.11786,4,0.20161,1,0.12109
33,33,30,19,110,1,0.027944,7,0.21002,1,0.082031
33,33,30,19,59,1,0.11765,10,0.22047,1,0.088632
33,33,30,17,96,2,0.14066,6,0.21217,1,0.09776
33,33,30,18,39,1,0.12571,3,0.1492,1,0.10865
33,33,30,18,79,1,0.1144,3,0.16696,1,0.10465
33,33,30,20,19,1,0.12321,7,0.16427,1,0.11131
33,33,30,20,110,1,0.084404,8,0.16906,1,0.085661
33,33,30,20,59,1,0.15873,7,0.17378,1,0.095764
33,33,30,18,96,1,0.11946,3,0.14669,1,0.10687
33,33,30,19,39,1,0.11963,5,0.21963,1,0.15901
33,33,30,21,19,1,0.12111,6,0.17091,1,0.10598
33,33,30,19,79,1,0.14572,3,0.17945,1,0.081081
33,33,30,21,110,3,0.1837,3,0.13228,1,0.10772
33,33,30,21,59,1,0.13333,3,0.16438,1,0.11212
33,33,30,19,96,1,0.1039,3,0.18985,1,0.088292
33,33,30,20,39,1,0.102,6,0.18789,1,0.095915
33,33,30,22,19,1,0.10147,7,0.15797,1,0.1254
33,33,30,20,79,1,0.13953,3,0.14356,1,0.076923
33,33,30,22,110,2,0.15868,9,0.17291,1,0.09434
33,33,30,22,59,1,0.11632,3,0.13699,1,0.12587
33,33,30,20,96,1,0.11171,3,0.13748,1,0.076364
33,33,30,21,39,1,0.11352,7,0.19851,1,0.18151
33,33,30,23,19,1,0.096423,6,0.16644,1,0.10915
33,33,30,23,110,1,0.093313,6,0.16482,1,0.13245
33,33,30,21,79,1,0.12479,4,0.19682,1,0.081851
33,33,30,21,96,2,0.12681,10,0.20954,1,0.082585
33,33,30,23,59,1,0.10642,10,0.19372,1,0.1286
33,33,30,24,19,1,0.08062,7,0.14702,1,0.11974
33,33,30,22,39,1,0.12857,4,0.17385,1,0.10239
33,33,30,24,110,1,0.08062,7,0.1482,1,0.074797
33,33,30,24,59,1,0.099388,3,0.13147,1,0.15781
33,33,30,25,19,2,0.10153,12,0.16175,1,0.13761
33,33,30,22,79,3,0.16692,4,0.14135,1,0.087108
33,33,30,22,96,2,0.14394,11,0.17605,1,0.18058
33,33,30,23,39,1,0.10535,2,0.1812,1,0.10544
33,33,30,25,110,2,0.11644,11,0.16282,1,0.11603
33,33,30,25,59,1,0.11544,14,0.1942,1,0.11043
33,33,30,23,79,1,0.081037,5,0.16503,1,0.13735
33,33,30,26,19,1,0.052555,12,0.14634,1,0.15038
33,33,30,23,96,1,0.091052,17,0.19267,1,0.097315
33,33,30,24,39,1,0.09245,4,0.16644,1,0.11576
33,33,30,26,110,1,0.1075,12,0.14744,1,0.14436
33,33,30,26,59,1,0.088953,8,0.16875,1,0.18647
33,33,30,24,79,1,0.15611,5,0.13352,1,0.14125
33,33,30,27,19,2,0.080475,21,0.17515,1,0.20086
33,33,30,24,96,1,0.11387,6,0.14266,1,0.1472
33,33,30,25,39,1,0.12335,11,0.19327,1,0.14838
33,33,30,27,110,2,0.12984,21,0.17612,1,0.17791
33,33,30,27,59,1,0.070748,7,0.15644,1,0.13087
33,33,30,28,19,1,0.076408,8,0.13839,1,0.21788
33,33,30,25,79,1,0.10587,12,0.16795,1,0.14792
33,33,30,25,96,1,0.090247,22,0.19476,1,0.09831
33,33,30,28,110,1,0.075933,6,0.13494,1,0.14903
33,33,30,26,39,1,0.060781,9,0.15875,1,0.12444
33,33,30,28,59,1,0.074646,7,0.13478,1,0.125
33,33,30,29,19,1,0.03861,22,0.15017,1,0.21017
33,33,30,26,79,1,0.12256,9,0.13462,1,0.11209
33,33,30,29,110,1,0.03861,22,0.15114,1,0.19813
33,33,30,26,96,1,0.10423,4,0.13385,1,0.10588
33,33,30,27,39,2,0.10065,30,0.19512,1,0.13564
33,33,30,29,59,1,0.033462,24,0.14949,1,0.2237
33,33,30,30,19,1,0,30,0.12598,1,0.1982
33,33,30,27,79,2,0.078457,27,0.18471,1,0.1039
33,33,30,30,110,1,0,30,0.12598,1,0.1982
33,33,30,28,39,1,0.080214,9,0.15348,1,0.17852
33,33,30,30,59,1,0,30,0.12598,1,0.1982
33,33,30,27,96,2,0.080902,6,0.16102,1,0.13564
33,33,30,1,18,3,0.37755,16,0.67016,2,0.88312
33,33,30,28,79,1,0.074646,19,0.14608,1,0.13074
