X,Y,Major,Minor,Rotation,EFT:n,EFT:Jaqqard
33,33,30,3,110,0,1
33,33,30,3,19,0,1
33,33,30,3,39,0,1
33,33,30,3,59,0,1
33,33,30,3,96,0,1
33,33,30,3,79,0,1
33,33,30,4,110,0,1
33,33,30,4,19,0,1
33,33,30,5,19,1,0.90503
33,33,30,5,110,1,0.84477
33,33,30,4,39,0,1
33,33,30,4,59,0,1
33,33,30,4,96,0,1
33,33,30,4,79,0,1
33,33,30,6,19,0,1
33,33,30,6,110,1,0.77914
33,33,30,5,96,0,1
33,33,30,5,39,1,0.67797
33,33,30,5,59,0,1
33,33,30,5,79,0,1
33,33,30,6,96,0,1
33,33,30,7,19,1,0.74074
33,33,30,6,39,1,0.41472
33,33,30,6,59,0,1
33,33,30,7,96,1,0.76839
33,33,30,7,110,1,0.75102
33,33,30,6,79,0,1
33,33,30,7,39,1,0.39867
33,33,30,8,96,0,1
33,33,30,8,39,1,0.37394
33,33,30,7,59,0,1
33,33,30,7,79,0,1
33,33,30,8,19,1,0.71806
33,33,30,9,96,1,0.73449
33,33,30,9,39,1,0.36905
33,33,30,8,110,1,0.69417
33,33,30,8,59,1,0.54985
33,33,30,8,79,1,0.80473
33,33,30,9,59,1,0.54354
33,33,30,9,110,1,0.67123
33,33,30,10,96,1,0.72422
33,33,30,9,19,1,0.66667
33,33,30,10,39,1,0.27273
33,33,30,9,79,1,0.7313
33,33,30,10,59,1,0.49364
33,33,30,11,39,1,0.26984
33,33,30,10,110,1,0.64935
33,33,30,11,96,1,0.67562
33,33,30,11,110,1,0.64427
33,33,30,11,59,1,0.4814
33,33,30,10,19,1,0.65298
33,33,30,10,79,1,0.69697
33,33,30,12,39,1,0.22959
33,33,30,12,59,1,0.537
33,33,30,12,110,1,0.591
33,33,30,12,96,1,0.64286
33,33,30,13,59,1,0.42474
33,33,30,13,39,1,0.21346
33,33,30,11,79,1,0.66667
33,33,30,13,110,1,0.55859
33,33,30,11,19,1,0.61607
33,33,30,14,59,1,0.38017
33,33,30,14,110,1,0.55054
33,33,30,14,39,1,0.22511
33,33,30,13,96,1,0.61508
33,33,30,12,19,1,0.60173
33,33,30,12,79,1,0.63071
33,33,30,15,110,1,0.50087
33,33,30,15,59,1,0.35361
33,33,30,14,96,1,0.59387
33,33,30,13,19,1,0.56212
33,33,30,16,110,1,0.43836
33,33,30,16,59,1,0.29903
33,33,30,15,96,1,0.55268
33,33,30,15,39,1,0.16476
33,33,30,17,59,1,0.30826
33,33,30,14,19,1,0.52505
33,33,30,16,96,1,0.52043
33,33,30,13,79,1,0.604
33,33,30,17,110,1,0.44027
33,33,30,15,19,1,0.50909
33,33,30,18,59,1,0.27289
33,33,30,16,39,1,0.22083
33,33,30,14,79,1,0.58974
33,33,30,17,96,1,0.49502
33,33,30,18,110,1,0.36918
33,33,30,17,39,1,0.21509
33,33,30,16,19,1,0.46422
33,33,30,15,79,1,0.5413
33,33,30,18,39,1,0.15849
33,33,30,16,79,1,0.51635
33,33,30,18,96,1,0.46504
33,33,30,17,19,1,0.49023
33,33,30,19,39,1,0.14898
33,33,30,19,59,1,0.25779
33,33,30,19,110,1,0.34965
33,33,30,17,79,1,0.46922
33,33,30,20,39,1,0.18803
33,33,30,18,19,1,0.37667
33,33,30,19,96,1,0.42704
33,33,30,18,79,1,0.45695
33,33,30,19,19,1,0.41159
33,33,30,20,96,1,0.39815
33,33,30,20,59,1,0.22887
33,33,30,21,39,1,0.18092
33,33,30,20,110,1,0.30695
33,33,30,19,79,1,0.39016
33,33,30,20,79,1,0.39506
33,33,30,21,96,1,0.3642
33,33,30,20,19,1,0.32453
33,33,30,22,39,1,0.19773
33,33,30,21,59,1,0.20548
33,33,30,21,110,1,0.31014
33,33,30,21,79,1,0.35396
33,33,30,23,39,1,0.15961
33,33,30,22,79,1,0.34462
33,33,30,21,19,1,0.29606
33,33,30,22,96,1,0.32764
33,33,30,24,39,1,0.17404
33,33,30,23,79,1,0.27809
33,33,30,22,19,1,0.29191
33,33,30,25,39,1,0.15878
33,33,30,23,96,1,0.30609
33,33,30,22,110,1,0.29209
33,33,30,24,79,1,0.2452
33,33,30,22,59,1,0.19192
33,33,30,23,19,1,0.25493
33,33,30,26,39,1,0.18283
33,33,30,25,79,1,0.21906
33,33,30,23,110,1,0.26848
33,33,30,24,19,1,0.25846
