N,SNR-Theoretical,SNR-Real,HEDAR:Jaccard,HEDAR:Time,Hough:Jaccard,Hough:Time,EFT:Jaccard,EFT:Time
1,34,33.615,0.27949,19.3379,0.11966,7.1545,0.098672,1.6949
1,33,33.2119,0.33982,13.6051,0.11966,7.8789,0.098672,2.0945
1,32,31.9067,0.31782,14.1359,0.11966,7.0902,0.098672,1.4034
1,31,31.2403,0.27949,13.0866,0.11966,6.1812,0.098672,1.5939
1,30,29.9679,0.31333,12.9393,0.11966,6.4125,0.098672,1.8568
1,29,28.4023,0.34227,13.5517,0.11966,8.076,0.098672,1.2062
1,28,28.5179,0.25547,13.1087,0.11966,8.0139,0.098672,1.434
1,27,26.5354,0.27949,13.3774,0.1286,8.4973,0.098672,2.2519
1,26,25.5613,0.30299,12.3014,0.11966,21.5898,0.098672,1.5696
1,25,25.0366,0.29201,14.8009,0.13153,165.2925,0.098672,0.70518
1,24,23.8741,0.34315,14.1902,0.11512,325.9275,0.098672,0.62215
1,23,22.9169,0.34975,12.3126,0.49805,478.1963,0.098672,0.62798
1,22,21.3567,0.33978,13.4827,0.12266,117.8844,0.098672,2.2401
1,21,21.1056,0.30014,14.391,0.133,269.2536,0.098672,0.75057
1,20,19.7075,0.34459,13.4438,0.12116,156.601,0.098672,0.60556
1,19,18.9701,0.41371,5.2626,0.13153,154.6719,0.098672,0.60998
1,18,17.9825,0.41742,5.0606,0.13445,32.2259,0.098672,0.60674
1,17,16.9815,0.46242,5.094,0.13445,61.2997,0.098672,0.60808
1,16,15.6428,0.27972,5.1904,0.24153,68.8237,0.098672,0.60549
1,15,14.8829,0.51959,5.0976,0.12564,161.952,0.098672,0.6134
1,14,13.7578,0.49111,5.0909,0.12564,226.6289,0.098672,0.6067
1,13,13.1306,0.56207,5.1618,0.71765,248.8462,0.098672,0.6055
1,12,11.6952,0.77501,5.2659,0.66471,209.1222,0.098672,0.59877
